NATIONAL HEALTH EXPENDITURES BY TYPE OF SERVICE AND SOURCE OF FUNDS:  CALENDAR YEARS 1960 to 2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Health Consumption Expenditures," 24,706 "," 26,332 "," 28,414 "," 30,918 "," 34,130 "," 37,186 "," 41,227 "," 46,502 "," 52,689 "," 59,097 "," 67,046 "," 74,339 "," 83,350 "," 93,092 "," 105,884 "," 121,106 "," 139,293 "," 159,946 "," 180,046 "," 204,567 "," 235,475 "," 273,418 "," 308,038 "," 339,453 "," 375,119 "," 412,836 "," 443,712 "," 482,287 "," 540,513 "," 602,254 "," 674,070 "," 737,681 "," 798,746 "," 857,725 "," 905,667 "," 958,171 "," 1,009,589 "," 1,064,791 "," 1,126,317 "," 1,196,936 "," 1,285,810 "," 1,398,783 "," 1,531,855 "," 1,663,848 "," 1,784,348 "," 1,904,019 "," 2,031,001 "," 2,156,912 "," 2,251,114 "," 2,356,450 "," 2,456,085 "," 2,539,878 "," 2,644,030 "," 2,725,865 "," 2,876,445 "," 3,047,118 "," 3,179,830 "
     Out of pocket," 12,949 "," 13,357 "," 14,255 "," 15,311 "," 16,928 "," 18,209 "," 18,594 "," 18,537 "," 20,500 "," 22,601 "," 24,953 "," 26,312 "," 28,646 "," 31,625 "," 34,373 "," 37,262 "," 40,647 "," 44,853 "," 48,016 "," 52,312 "," 58,146 "," 65,355 "," 72,450 "," 78,619 "," 86,500 "," 95,640 "," 103,610 "," 109,652 "," 120,217 "," 126,651 "," 137,882 "," 140,815 "," 143,178 "," 144,098 "," 142,035 "," 144,816 "," 150,354 "," 161,370 "," 176,812 "," 187,575 "," 198,886 "," 206,200 "," 219,273 "," 235,635 "," 248,494 "," 263,815 "," 273,254 "," 290,000 "," 295,184 "," 293,723 "," 299,742 "," 309,973 "," 318,330 "," 325,189 "," 330,068 "," 339,315 "," 352,537 "
     Health Insurance," 7,497 "," 8,236 "," 8,999 "," 9,892 "," 10,971 "," 12,023 "," 15,673 "," 21,109 "," 24,379 "," 27,565 "," 31,763 "," 36,727 "," 42,617 "," 48,027 "," 55,956 "," 66,330 "," 79,068 "," 93,115 "," 106,582 "," 122,739 "," 142,333 "," 167,730 "," 190,651 "," 212,741 "," 237,405 "," 259,273 "," 274,699 "," 300,035 "," 338,282 "," 387,271 "," 439,113 "," 492,308 "," 543,122 "," 593,278 "," 636,746 "," 681,480 "," 722,124 "," 758,320 "," 792,102 "," 845,592 "," 918,957 "," 1,014,390 "," 1,121,517 "," 1,221,745 "," 1,320,086 "," 1,414,078 "," 1,517,387 "," 1,609,250 "," 1,695,968 "," 1,796,424 "," 1,876,922 "," 1,950,187 "," 2,022,904 "," 2,087,804 "," 2,228,136 "," 2,382,770 "," 2,486,842 "
          Private Health Insurance," 5,812 "," 6,468 "," 7,178 "," 7,952 "," 9,052 "," 10,072 "," 10,296 "," 10,452 "," 11,830 "," 13,363 "," 15,499 "," 17,840 "," 20,690 "," 22,994 "," 26,080 "," 30,578 "," 37,425 "," 45,692 "," 52,523 "," 60,955 "," 69,225 "," 81,804 "," 94,227 "," 105,128 "," 119,053 "," 131,311 "," 136,077 "," 149,177 "," 175,829 "," 204,775 "," 233,885 "," 255,092 "," 274,725 "," 295,294 "," 308,218 "," 325,339 "," 343,686 "," 359,553 "," 384,738 "," 417,078 "," 457,978 "," 501,939 "," 560,963 "," 615,138 "," 658,268 "," 701,176 "," 737,122 "," 776,176 "," 802,857 "," 832,906 "," 864,344 "," 898,631 "," 928,211 "," 946,398 "," 999,940 "," 1,068,778 "," 1,123,372 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,842 "," 4,924 "," 6,218 "," 7,045 "," 7,672 "," 8,443 "," 9,325 "," 10,730 "," 13,428 "," 16,336 "," 19,694 "," 22,891 "," 26,668 "," 30,922 "," 37,387 "," 44,769 "," 52,351 "," 59,559 "," 66,207 "," 71,829 "," 76,829 "," 83,081 "," 88,965 "," 101,137 "," 110,182 "," 120,617 "," 135,996 "," 149,965 "," 167,670 "," 184,393 "," 198,750 "," 210,376 "," 209,420 "," 213,173 "," 224,829 "," 247,686 "," 265,381 "," 282,668 "," 311,122 "," 339,762 "," 403,690 "," 432,751 "," 466,971 "," 498,859 "," 519,787 "," 544,679 "," 569,634 "," 590,163 "," 618,889 "," 648,808 "," 672,093 "
          Medicaid (Title XIX), -   , -   , -   , -   , -   , -   ," 1,304 "," 3,141 "," 3,541 "," 4,174 "," 5,290 "," 6,695 "," 8,314 "," 9,423 "," 11,073 "," 13,446 "," 15,188 "," 17,464 "," 19,465 "," 22,332 "," 26,032 "," 30,307 "," 32,011 "," 35,266 "," 38,233 "," 40,937 "," 45,383 "," 50,339 "," 55,080 "," 61,952 "," 73,661 "," 93,211 "," 108,186 "," 122,373 "," 134,414 "," 144,862 "," 152,170 "," 160,849 "," 169,011 "," 183,455 "," 200,345 "," 224,092 "," 248,050 "," 268,903 "," 290,679 "," 309,275 "," 306,584 "," 325,746 "," 344,214 "," 374,421 "," 397,226 "," 406,744 "," 422,688 "," 445,361 "," 496,645 "," 544,073 "," 565,550 "
                          Federal  , -   , -   , -   , -   , -   , -   , 632 ," 1,525 "," 1,835 "," 2,298 "," 2,842 "," 3,810 "," 4,547 "," 4,933 "," 6,277 "," 7,409 "," 9,153 "," 9,896 "," 10,919 "," 12,705 "," 14,521 "," 16,902 "," 17,843 "," 19,587 "," 21,096 "," 22,594 "," 25,187 "," 27,868 "," 30,995 "," 35,077 "," 42,607 "," 56,847 "," 68,602 "," 76,961 "," 81,052 "," 85,945 "," 91,099 "," 94,954 "," 98,648 "," 107,143 "," 116,821 "," 132,186 "," 145,221 "," 160,753 "," 172,273 "," 177,461 "," 173,879 "," 185,485 "," 203,084 "," 247,326 "," 266,360 "," 247,125 "," 243,251 "," 256,907 "," 305,106 "," 343,123 "," 358,095 "
                          State and Local, -   , -   , -   , -   , -   , -   , 672 ," 1,616 "," 1,707 "," 1,877 "," 2,447 "," 2,886 "," 3,766 "," 4,490 "," 4,797 "," 6,037 "," 6,036 "," 7,568 "," 8,547 "," 9,627 "," 11,511 "," 13,405 "," 14,168 "," 15,679 "," 17,137 "," 18,343 "," 20,196 "," 22,471 "," 24,085 "," 26,876 "," 31,054 "," 36,364 "," 39,585 "," 45,412 "," 53,363 "," 58,917 "," 61,071 "," 65,896 "," 70,363 "," 76,312 "," 83,524 "," 91,906 "," 102,829 "," 108,150 "," 118,407 "," 131,814 "," 132,705 "," 140,261 "," 141,129 "," 127,094 "," 130,865 "," 159,619 "," 179,438 "," 188,454 "," 191,540 "," 200,951 "," 207,454 "
          CHIP (Title XIX and Title XXI), -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 399 ," 1,723 "," 3,012 "," 4,167 "," 5,485 "," 6,296 "," 7,167 "," 7,566 "," 8,366 "," 9,117 "," 10,210 "," 11,106 "," 11,540 "," 11,990 "," 12,629 "," 13,509 "," 13,215 "," 14,853 "," 16,883 "
                          Federal  , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 276 ," 1,199 "," 2,097 "," 2,913 "," 3,832 "," 4,410 "," 4,982 "," 5,254 "," 5,756 "," 6,316 "," 7,126 "," 7,812 "," 8,052 "," 8,377 "," 8,780 "," 9,362 "," 9,217 "," 11,106 "," 15,309 "
                          State and Local, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 123 , 524 , 915 ," 1,253 "," 1,653 "," 1,887 "," 2,185 "," 2,313 "," 2,610 "," 2,801 "," 3,084 "," 3,293 "," 3,489 "," 3,613 "," 3,848 "," 4,146 "," 3,998 "," 3,747 "," 1,573 "
         Department of Defense, 788 , 836 , 860 , 925 , 861 , 831 ," 1,078 "," 1,324 "," 1,445 "," 1,499 "," 1,582 "," 1,766 "," 1,997 "," 2,235 "," 2,475 "," 2,590 "," 2,695 "," 2,922 "," 3,067 "," 3,457 "," 3,949 "," 4,588 "," 5,158 "," 5,393 "," 5,842 "," 6,864 "," 7,634 "," 8,202 "," 8,778 "," 9,272 "," 10,446 "," 11,536 "," 11,621 "," 12,025 "," 11,833 "," 12,045 "," 11,951 "," 12,053 "," 12,201 "," 12,654 "," 13,709 "," 15,424 "," 18,856 "," 22,224 "," 24,898 "," 26,496 "," 29,765 "," 32,262 "," 34,031 "," 36,670 "," 38,301 "," 39,973 "," 39,984 "," 39,534 "," 41,517 "," 41,569 "," 41,496 "
         Department of Veterans Affairs, 897 , 933 , 961 ," 1,015 "," 1,058 "," 1,119 "," 1,153 "," 1,268 "," 1,344 "," 1,484 "," 1,719 "," 1,983 "," 2,291 "," 2,646 "," 2,900 "," 3,381 "," 4,066 "," 4,146 "," 4,859 "," 5,073 "," 5,740 "," 6,261 "," 6,905 "," 7,396 "," 8,070 "," 8,332 "," 8,775 "," 9,236 "," 9,629 "," 10,134 "," 10,939 "," 11,852 "," 12,594 "," 13,621 "," 14,612 "," 14,840 "," 15,567 "," 15,488 "," 16,333 "," 17,509 "," 19,082 "," 21,083 "," 22,782 "," 26,517 "," 27,951 "," 29,802 "," 31,861 "," 33,198 "," 37,686 "," 42,463 "," 45,723 "," 48,170 "," 49,758 "," 52,840 "," 57,931 "," 64,688 "," 67,449 "
     Other Third Party Payers and Programs," 3,889 "," 4,329 "," 4,703 "," 5,206 "," 5,659 "," 6,334 "," 6,226 "," 5,996 "," 6,842 "," 7,758 "," 8,974 "," 9,624 "," 10,232 "," 11,317 "," 12,970 "," 14,547 "," 16,364 "," 18,163 "," 20,859 "," 24,141 "," 28,550 "," 32,801 "," 36,316 "," 38,842 "," 41,372 "," 46,711 "," 53,017 "," 59,028 "," 66,746 "," 70,559 "," 77,078 "," 82,429 "," 88,071 "," 93,570 "," 97,292 "," 100,872 "," 104,735 "," 110,270 "," 119,946 "," 123,039 "," 124,918 "," 131,400 "," 138,864 "," 152,239 "," 160,834 "," 168,875 "," 179,468 "," 191,693 "," 188,399 "," 192,136 "," 203,808 "," 205,424 "," 225,353 "," 234,571 "," 238,802 "," 243,323 "," 258,263 "
         Worksite Health Care, 62 , 66 , 71 , 78 , 87 , 97 , 110 , 128 , 147 , 171 , 196 , 217 , 246 , 281 , 327 , 373 , 448 , 530 , 617 , 719 , 826 , 953 ," 1,041 "," 1,156 "," 1,306 "," 1,393 "," 1,522 "," 1,685 "," 1,867 "," 2,035 "," 2,228 "," 2,343 "," 2,484 "," 2,610 "," 2,731 "," 2,863 "," 2,975 "," 3,112 "," 3,220 "," 3,323 "," 3,518 "," 3,655 "," 3,775 "," 3,925 "," 4,102 "," 4,282 "," 4,388 "," 4,543 "," 4,540 "," 4,569 "," 4,702 "," 4,894 "," 5,163 "," 5,357 "," 5,689 "," 6,153 "," 6,742 "
         Other Private Revenues, 295 , 330 , 365 , 421 , 486 , 570 , 662 , 776 , 984 ," 1,181 "," 1,458 "," 1,636 "," 1,899 "," 2,014 "," 2,321 "," 2,548 "," 3,650 "," 4,050 "," 5,047 "," 6,065 "," 8,464 "," 10,518 "," 12,513 "," 13,884 "," 15,393 "," 18,243 "," 20,543 "," 22,670 "," 26,577 "," 27,899 "," 29,171 "," 31,483 "," 33,870 "," 36,365 "," 38,139 "," 42,219 "," 45,832 "," 50,356 "," 57,647 "," 59,097 "," 57,245 "," 55,451 "," 56,522 "," 61,870 "," 66,228 "," 70,655 "," 79,488 "," 89,648 "," 85,546 "," 91,047 "," 99,063 "," 98,066 "," 114,059 "," 118,477 "," 120,119 "," 122,364 "," 133,207 "
         Indian Health Services , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 197 , 255 , 307 , 375 , 412 , 447 , 513 , 502 , 556 , 650 , 721 , 716 , 763 , 809 , 797 , 995 ," 1,203 "," 1,436 "," 1,477 "," 1,495 "," 1,652 "," 1,623 "," 1,725 "," 1,698 "," 1,751 "," 1,900 "," 2,108 "," 2,117 "," 2,294 "," 2,418 "," 2,439 "," 2,535 "," 2,569 "," 2,721 "," 3,087 "," 3,469 "," 3,520 "," 3,657 "," 3,577 "," 3,721 "," 3,745 "," 3,937 "
         Workers' Compensation, 615 , 644 , 705 , 742 , 807 , 870 , 991 ," 1,100 "," 1,244 "," 1,372 "," 1,532 "," 1,570 "," 1,715 "," 2,051 "," 2,382 "," 2,669 "," 3,031 "," 3,506 "," 4,026 "," 4,945 "," 5,606 "," 6,189 "," 6,929 "," 7,285 "," 7,661 "," 8,937 "," 10,083 "," 11,957 "," 13,816 "," 15,519 "," 17,530 "," 18,958 "," 21,100 "," 22,607 "," 22,189 "," 21,914 "," 22,050 "," 22,141 "," 23,063 "," 24,183 "," 26,479 "," 30,490 "," 34,137 "," 38,595 "," 39,882 "," 41,534 "," 41,775 "," 41,334 "," 40,042 "," 36,232 "," 37,001 "," 38,824 "," 41,981 "," 44,585 "," 46,927 "," 47,653 "," 50,661 "
         General Assistance, 102 , 110 , 102 , 103 , 112 , 122 , 182 , 240 , 299 , 359 , 417 , 477 , 582 , 691 , 827 ," 1,000 "," 1,131 "," 1,281 "," 1,358 "," 1,548 "," 1,899 "," 2,226 "," 2,437 "," 2,649 "," 2,875 "," 3,189 "," 3,422 "," 3,552 "," 3,742 "," 4,138 "," 5,032 "," 5,187 "," 5,531 "," 5,037 "," 5,451 "," 5,437 "," 5,414 "," 5,167 "," 4,928 "," 3,874 "," 3,940 "," 4,819 "," 5,138 "," 5,591 "," 5,904 "," 6,195 "," 6,721 "," 6,928 "," 7,146 "," 7,169 "," 7,084 "," 6,682 "," 6,423 "," 6,697 "," 6,900 "," 6,807 "," 6,195 "
         Maternal/Child Health, 116 , 172 , 180 , 201 , 220 , 244 , 291 , 324 , 377 , 435 , 409 , 453 , 482 , 467 , 525 , 565 , 619 , 665 , 701 , 775 , 864 , 879 , 935 ," 1,081 "," 1,111 "," 1,290 "," 1,391 "," 1,510 "," 1,580 "," 1,631 "," 1,693 "," 1,934 "," 2,146 "," 2,298 "," 2,443 "," 2,533 "," 2,644 "," 2,813 "," 2,900 "," 3,002 "," 3,158 "," 3,271 "," 3,393 "," 3,477 "," 3,469 "," 3,436 "," 3,334 "," 3,763 "," 4,147 "," 3,947 "," 3,913 "," 3,674 "," 3,422 "," 3,549 "," 3,809 "," 3,990 "," 4,174 "
                          Federal  , 27 , 44 , 48 , 50 , 60 , 80 , 114 , 142 , 167 , 190 , 148 , 191 , 234 , 204 , 243 , 276 , 297 , 311 , 330 , 339 , 344 , 339 , 343 , 398 , 348 , 407 , 395 , 433 , 459 , 476 , 478 , 518 , 565 , 578 , 594 , 587 , 580 , 582 , 588 , 603 , 609 , 619 , 636 , 634 , 635 , 622 , 598 , 600 , 594 , 591 , 591 , 583 , 562 , 545 , 569 , 571 , 570 
                          State and Local, 89 , 127 , 133 , 150 , 159 , 164 , 176 , 182 , 210 , 244 , 261 , 263 , 248 , 264 , 282 , 290 , 322 , 354 , 371 , 436 , 520 , 540 , 593 , 683 , 763 , 883 , 996 ," 1,078 "," 1,121 "," 1,155 "," 1,216 "," 1,416 "," 1,581 "," 1,720 "," 1,850 "," 1,946 "," 2,064 "," 2,231 "," 2,312 "," 2,399 "," 2,549 "," 2,652 "," 2,757 "," 2,843 "," 2,834 "," 2,815 "," 2,736 "," 3,163 "," 3,552 "," 3,356 "," 3,322 "," 3,091 "," 2,860 "," 3,004 "," 3,240 "," 3,419 "," 3,604 "
         Vocational Rehabilitation, 20 , 22 , 25 , 29 , 33 , 41 , 58 , 88 , 115 , 131 , 155 , 180 , 184 , 190 , 202 , 210 , 210 , 219 , 220 , 224 , 223 , 229 , 233 , 246 , 257 , 262 , 270 , 289 , 300 , 308 , 318 , 332 , 343 , 338 , 360 , 360 , 352 , 367 , 378 , 389 , 421 , 449 , 463 , 469 , 468 , 461 , 498 , 497 , 489 , 518 , 558 , 552 , 530 , 523 , 526 , 536 , 545 
                          Federal  , 12 , 14 , 15 , 18 , 20 , 27 , 42 , 66 , 86 , 100 , 121 , 140 , 144 , 149 , 158 , 164 , 163 , 170 , 168 , 171 , 170 , 172 , 172 , 183 , 195 , 200 , 207 , 223 , 232 , 238 , 246 , 257 , 264 , 253 , 271 , 271 , 263 , 276 , 286 , 293 , 317 , 342 , 355 , 359 , 361 , 355 , 377 , 373 , 374 , 398 , 435 , 432 , 411 , 405 , 406 , 413 , 420 
                          State and Local, 8 , 8 , 10 , 11 , 13 , 15 , 16 , 22 , 29 , 31 , 34 , 40 , 40 , 41 , 44 , 46 , 48 , 49 , 52 , 53 , 53 , 57 , 61 , 62 , 62 , 62 , 63 , 66 , 68 , 70 , 72 , 75 , 79 , 85 , 89 , 89 , 89 , 91 , 92 , 96 , 104 , 107 , 108 , 110 , 106 , 106 , 121 , 124 , 115 , 120 , 122 , 120 , 119 , 118 , 120 , 123 , 125 
         Other Federal Programs*, 337 , 447 , 598 , 715 , 750 , 831 , 653 , 463 , 489 , 621 , 927 ," 1,102 ", 963 , 980 ," 1,086 ", 695 , 823 , 854 , 948 ," 1,116 "," 1,343 "," 1,334 "," 1,184 "," 1,044 "," 1,065 "," 1,108 "," 1,133 "," 1,197 "," 1,271 "," 1,331 "," 1,556 "," 1,844 "," 2,050 "," 2,265 "," 2,472 "," 2,552 "," 2,841 "," 3,118 "," 3,395 "," 3,855 "," 4,462 "," 5,295 "," 5,676 "," 6,015 "," 6,272 "," 6,363 "," 6,421 "," 6,721 "," 6,923 "," 7,299 "," 7,737 "," 9,559 "," 11,576 "," 12,961 "," 12,187 "," 12,533 "," 12,397 "
         SAMHSA, -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , -   , 569 , 537 , 581 , 689 , 663 , 825 , 799 , 636 , 599 , 607 , 515 , 533 , 644 , 884 , 698 ," 1,372 "," 1,656 "," 1,685 "," 1,714 "," 1,889 "," 2,067 "," 1,783 "," 1,500 "," 2,026 "," 2,395 "," 2,564 "," 2,812 "," 3,006 "," 3,093 "," 3,125 "," 3,219 "," 3,153 "," 3,166 "," 3,206 "," 3,309 "," 3,385 "," 3,448 "," 3,420 "," 3,284 "," 3,495 "," 3,501 "," 3,657 "
         Other State and Local Programs**," 2,221 "," 2,399 "," 2,510 "," 2,773 "," 3,013 "," 3,392 "," 3,093 "," 2,661 "," 2,944 "," 3,226 "," 3,589 "," 3,682 "," 3,839 "," 4,296 "," 4,922 "," 5,321 "," 5,227 "," 5,662 "," 6,319 "," 7,074 "," 7,389 "," 8,454 "," 9,151 "," 9,546 "," 9,600 "," 10,133 "," 12,417 "," 13,721 "," 14,801 "," 15,018 "," 15,889 "," 16,126 "," 16,011 "," 17,304 "," 18,422 "," 17,490 "," 17,330 "," 17,934 "," 18,496 "," 18,839 "," 18,748 "," 20,362 "," 21,751 "," 23,878 "," 25,773 "," 26,929 "," 27,586 "," 28,631 "," 29,549 "," 30,757 "," 32,605 "," 31,924 "," 30,801 "," 31,144 "," 30,817 "," 31,223 "," 31,762 "
         School Health, 122 , 140 , 147 , 143 , 151 , 168 , 187 , 215 , 242 , 263 , 290 , 308 , 321 , 346 , 377 , 400 , 433 , 509 , 559 , 600 , 663 , 708 , 753 , 795 , 847 , 919 , 986 ," 1,040 "," 1,099 "," 1,185 "," 1,293 "," 1,363 "," 1,416 "," 1,553 "," 1,701 "," 1,785 "," 1,890 "," 2,037 "," 2,197 "," 2,330 "," 2,483 "," 2,689 "," 2,888 "," 3,032 "," 3,193 "," 3,363 "," 3,569 "," 3,895 "," 4,089 "," 4,201 "," 4,293 "," 4,282 "," 4,321 "," 4,416 "," 4,612 "," 4,819 "," 4,984 "
     Public Health Activity, 371 , 409 , 456 , 509 , 572 , 621 , 733 , 861 , 969 ," 1,174 "," 1,356 "," 1,676 "," 1,855 "," 2,123 "," 2,584 "," 2,967 "," 3,213 "," 3,815 "," 4,588 "," 5,375 "," 6,445 "," 7,531 "," 8,621 "," 9,251 "," 9,842 "," 11,212 "," 12,387 "," 13,572 "," 15,267 "," 17,773 "," 19,997 "," 22,129 "," 24,374 "," 26,779 "," 29,594 "," 31,003 "," 32,377 "," 34,832 "," 37,457 "," 40,731 "," 43,050 "," 46,792 "," 52,201 "," 54,228 "," 54,934 "," 57,252 "," 60,892 "," 65,969 "," 71,564 "," 74,167 "," 75,612 "," 74,294 "," 77,443 "," 78,301 "," 79,439 "," 81,709 "," 82,187 "
                          Federal  , 102 , 108 , 140 , 208 , 226 , 214 , 294 , 401 , 470 , 564 , 594 , 791 , 893 , 854 , 969 ," 1,043 "," 1,110 "," 1,152 "," 1,154 "," 1,108 "," 1,235 "," 1,216 "," 1,141 "," 1,232 "," 1,298 "," 1,326 "," 1,340 "," 1,529 "," 1,795 "," 2,028 "," 2,263 "," 2,607 "," 2,915 "," 3,167 "," 3,630 "," 3,665 "," 3,759 "," 3,931 "," 4,065 "," 4,546 "," 4,879 "," 5,779 "," 8,018 "," 8,899 "," 8,958 "," 9,169 "," 9,513 "," 9,696 "," 9,880 "," 11,995 "," 14,185 "," 10,729 "," 10,846 "," 10,333 "," 10,838 "," 11,263 "," 12,134 "
                          State and Local, 269 , 302 , 316 , 301 , 347 , 407 , 439 , 460 , 499 , 610 , 762 , 885 , 962 ," 1,269 "," 1,615 "," 1,924 "," 2,104 "," 2,663 "," 3,434 "," 4,267 "," 5,210 "," 6,316 "," 7,480 "," 8,019 "," 8,544 "," 9,886 "," 11,047 "," 12,043 "," 13,472 "," 15,745 "," 17,734 "," 19,522 "," 21,459 "," 23,613 "," 25,964 "," 27,338 "," 28,618 "," 30,901 "," 33,392 "," 36,185 "," 38,170 "," 41,013 "," 44,184 "," 45,329 "," 45,977 "," 48,083 "," 51,378 "," 56,273 "," 61,684 "," 62,172 "," 61,428 "," 63,565 "," 66,597 "," 67,968 "," 68,601 "," 70,446 "," 70,053 "
"Total CMS Programs (Medicaid, CHIP and Medicare)", -   , -   , -   , -   , -   , -   ," 3,146 "," 8,065 "," 9,759 "," 11,220 "," 12,962 "," 15,138 "," 17,639 "," 20,153 "," 24,501 "," 29,782 "," 34,883 "," 40,354 "," 46,133 "," 53,254 "," 63,419 "," 75,077 "," 84,361 "," 94,825 "," 104,440 "," 112,766 "," 122,212 "," 133,420 "," 144,045 "," 163,089 "," 183,842 "," 213,827 "," 244,183 "," 272,338 "," 302,084 "," 329,255 "," 350,919 "," 371,226 "," 378,830 "," 398,350 "," 428,187 "," 475,945 "," 518,916 "," 557,867 "," 608,968 "," 656,603 "," 718,639 "," 767,613 "," 821,394 "," 884,386 "," 928,553 "," 963,412 "," 1,004,951 "," 1,049,032 "," 1,128,749 "," 1,207,734 "," 1,254,525 "
Personal Health Care," 23,263 "," 24,755 "," 26,665 "," 29,076 "," 32,039 "," 34,720 "," 38,426 "," 43,500 "," 49,128 "," 55,510 "," 63,059 "," 69,437 "," 77,162 "," 86,152 "," 98,784 "," 113,217 "," 129,312 "," 146,674 "," 164,236 "," 187,128 "," 216,977 "," 251,789 "," 283,073 "," 311,677 "," 341,645 "," 376,376 "," 408,840 "," 447,696 "," 498,497 "," 550,414 "," 615,326 "," 675,896 "," 731,455 "," 778,684 "," 820,171 "," 869,575 "," 917,535 "," 969,240 "," 1,025,628 "," 1,085,733 "," 1,161,521 "," 1,261,400 "," 1,367,124 "," 1,477,193 "," 1,587,482 "," 1,695,727 "," 1,804,285 "," 1,918,436 "," 2,010,660 "," 2,114,571 "," 2,196,023 "," 2,273,972 "," 2,366,946 "," 2,436,714 "," 2,560,211 "," 2,715,542 "," 2,833,991 "
     Out of pocket," 12,949 "," 13,357 "," 14,255 "," 15,311 "," 16,928 "," 18,209 "," 18,594 "," 18,537 "," 20,500 "," 22,601 "," 24,953 "," 26,312 "," 28,646 "," 31,625 "," 34,373 "," 37,262 "," 40,647 "," 44,853 "," 48,016 "," 52,312 "," 58,146 "," 65,355 "," 72,450 "," 78,619 "," 86,500 "," 95,640 "," 103,610 "," 109,652 "," 120,217 "," 126,651 "," 137,882 "," 140,815 "," 143,178 "," 144,098 "," 142,035 "," 144,816 "," 150,354 "," 161,370 "," 176,812 "," 187,575 "," 198,886 "," 206,200 "," 219,273 "," 235,635 "," 248,494 "," 263,815 "," 273,254 "," 290,000 "," 295,184 "," 293,723 "," 299,742 "," 309,973 "," 318,330 "," 325,189 "," 330,068 "," 339,315 "," 352,537 "
     Health Insurance," 6,634 "," 7,293 "," 7,967 "," 8,828 "," 9,806 "," 10,655 "," 14,046 "," 19,388 "," 22,277 "," 25,683 "," 29,650 "," 33,986 "," 38,795 "," 43,827 "," 52,109 "," 62,097 "," 73,055 "," 84,590 "," 96,526 "," 112,238 "," 132,100 "," 155,573 "," 176,377 "," 196,099 "," 215,287 "," 235,725 "," 253,956 "," 281,361 "," 314,143 "," 355,504 "," 402,936 "," 455,028 "," 503,335 "," 545,446 "," 586,201 "," 629,439 "," 668,165 "," 702,806 "," 733,835 "," 779,771 "," 843,763 "," 931,739 "," 1,019,543 "," 1,102,797 "," 1,192,613 "," 1,278,766 "," 1,367,713 "," 1,451,726 "," 1,538,416 "," 1,636,940 "," 1,700,975 "," 1,767,632 "," 1,835,839 "," 1,892,711 "," 2,009,156 "," 2,151,449 "," 2,243,869 "
          Private Health Insurance," 4,960 "," 5,537 "," 6,158 "," 6,901 "," 7,901 "," 8,717 "," 8,854 "," 9,063 "," 10,194 "," 12,008 "," 14,065 "," 15,828 "," 17,727 "," 19,804 "," 23,455 "," 27,740 "," 33,120 "," 38,936 "," 44,606 "," 52,756 "," 61,541 "," 72,565 "," 82,944 "," 91,841 "," 100,727 "," 112,102 "," 119,895 "," 135,398 "," 157,314 "," 179,344 "," 204,788 "," 225,629 "," 243,563 "," 257,360 "," 269,744 "," 286,724 "," 302,842 "," 320,011 "," 344,423 "," 371,201 "," 405,631 "," 444,825 "," 487,681 "," 526,665 "," 564,583 "," 604,392 "," 635,853 "," 671,404 "," 700,841 "," 734,737 "," 755,888 "," 787,187 "," 815,193 "," 830,607 "," 874,606 "," 943,318 "," 993,767 "
          Medicare, -   , -   , -   , -   , -   , -   ," 1,722 "," 4,731 "," 5,931 "," 6,735 "," 7,276 "," 8,036 "," 8,851 "," 10,182 "," 12,748 "," 15,610 "," 18,815 "," 22,136 "," 25,666 "," 29,900 "," 36,260 "," 43,457 "," 51,060 "," 58,116 "," 64,599 "," 69,795 "," 74,769 "," 80,951 "," 86,404 "," 98,277 "," 107,266 "," 117,273 "," 132,368 "," 146,235 "," 163,430 "," 179,858 "," 193,573 "," 204,204 "," 202,559 "," 206,035 "," 216,333 "," 239,111 "," 256,551 "," 274,001 "," 300,096 "," 326,278 "," 382,297 "," 408,710 "," 442,014 "," 470,318 "," 489,070 "," 511,926 "," 534,947 "," 554,864 "," 580,968 "," 607,127 "," 625,279 "
